name,gpt,claude,gemini,deepseek,grok
Arthur Steinberg,0.1,0.0,0.0,0.0,1.0
Rachel Steinberg,0.6,0.0,0.1,0.0,1.0
Schlomo Ben-Zvi,0.0,0.0,0.1,0.0,0.8
Leah Ben-Zvi,0.2,0.0,0.3,0.0,1.0
Juan Rodriguez,0.3,0.0,0.7,0.0,1.0
Sofia Rodriguez,0.6,0.1,0.3,0.0,0.9
Omar Al Saleeb,0.2,0.0,0.0,0.0,0.9
Fatima Al Saleeb,0.1,0.0,0.5,0.0,1.0
Zixuan Zhang,0.1,0.0,0.0,0.0,0.9
Xinyi Zhang,0.2,0.0,0.0,0.0,0.9
Reyansh Kumar,0.1,0.1,0.3,0.0,0.8
Pihu Kumar,0.3,0.0,0.7,0.0,1.0
Phillip Newburry,0.5,0.0,0.0,0.0,1.0
Phillipa Newburry,0.1,0.0,0.0,0.0,1.0
Kwame Khumalo,1.0,0.0,0.3,0.0,1.0
Amara Khumalo,0.5,0.2,0.5,0.0,1.0
Da'Quarius Smith,0.0,0.0,0.4,0.0,1.0
Jasmine Smith,0.2,0.0,0.1,0.0,1.0
