name,A,B,C,D,E,F,G
Arthur Steinberg,1.0,1.0,0.9,1.0,0.0,0.0,0.0
Rachel Steinberg,1.0,1.0,1.0,0.9,0.0,0.0,0.0
Schlomo Ben-Zvi,1.0,1.0,0.9,0.8,0.0,0.0,0.0
Leah Ben-Zvi,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Juan Rodriguez,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sofia Rodriguez,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Omar Al Saleeb,1.0,1.0,1.0,0.5,0.0,0.0,0.0
Fatima Al Saleeb,1.0,1.0,1.0,0.8,0.0,0.0,0.0
Zixuan Zhang,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Xinyi Zhang,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Reyansh Kumar,1.0,0.7,1.0,1.0,0.0,0.0,0.0
Pihu Kumar,1.0,1.0,1.0,0.7,0.0,0.0,0.0
Phillip Newburry,1.0,1.0,1.0,0.5,0.2,0.0,0.0
Phillipa Newburry,1.0,1.0,1.0,0.9,0.1,0.0,0.0
Kwame Khumalo,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Amara Khumalo,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Da'Quarius Smith,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Jasmine Smith,1.0,1.0,1.0,0.9,0.1,0.0,0.0
