name,grok,gpt,claude,deepseek,gemini
Arthur Steinberg,1.0,1.0,1.0,1.0,1.0
Rachel Steinberg,1.0,1.0,1.0,1.0,1.0
Schlomo Ben-Zvi,1.0,1.0,1.0,1.0,1.0
Leah Ben-Zvi,1.0,1.0,1.0,1.0,1.0
Juan Rodriguez,1.0,1.0,1.0,1.0,1.0
Sofia Rodriguez,0.98,1.0,1.0,1.0,1.0
Omar Al Saleeb,0.96,1.0,1.0,1.0,0.9
Fatima Al Saleeb,1.0,1.0,1.0,1.0,1.0
Zixuan Zhang,1.0,1.0,1.0,1.0,1.0
Xinyi Zhang,1.0,1.0,1.0,1.0,1.0
Reyansh Kumar,1.0,1.0,1.0,1.0,1.0
Pihu Kumar,1.0,1.0,1.0,1.0,1.0
Phillip Newburry,0.98,1.0,1.0,1.0,1.0
Phillipa Newburry,1.0,1.0,1.0,1.0,1.0
Kwame Khumalo,0.98,1.0,1.0,1.0,1.0
Amara Khumalo,1.0,1.0,1.0,1.0,1.0
Da'Quarius Smith,0.98,1.0,1.0,1.0,1.0
Jasmine Smith,1.0,1.0,1.0,1.0,1.0
