name,G,F,E,D,C,B,A
Arthur Steinberg,0.0,0.0,0.0,0.0,0.7,0.9,1.0
Rachel Steinberg,0.0,0.0,0.0,0.0,0.8,1.0,1.0
Schlomo Ben-Zvi,0.0,0.0,0.0,0.0,0.8,0.6,1.0
Leah Ben-Zvi,0.0,0.0,0.0,0.0,0.9,1.0,1.0
Juan Rodriguez,0.0,0.0,0.0,0.0,0.6,0.9,1.0
Sofia Rodriguez,0.0,0.0,0.0,0.0,0.5,0.8,1.0
Omar Al Saleeb,0.0,0.0,0.0,0.0,0.1,0.5,1.0
Fatima Al Saleeb,0.0,0.0,0.0,0.0,0.7,1.0,1.0
Zixuan Zhang,0.0,0.0,0.0,0.0,0.6,0.9,1.0
Xinyi Zhang,0.0,0.0,0.0,0.0,0.5,1.0,0.9
Reyansh Kumar,0.0,0.0,0.0,0.0,0.2,0.5,1.0
Pihu Kumar,0.0,0.0,0.0,0.0,0.0,0.5,0.9
Phillip Newburry,0.0,0.0,0.0,0.0,0.4,0.7,1.0
Phillipa Newburry,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Kwame Khumalo,0.0,0.0,0.0,0.0,0.7,0.5,1.0
Amara Khumalo,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Da'Quarius Smith,0.0,0.0,0.0,0.0,0.7,1.0,1.0
Jasmine Smith,0.0,0.0,0.0,0.0,1.0,1.0,1.0
