name,gemini,claude,gpt,deepseek,grok
Jon Lott,0.96,0.6,0.8,0.88,0.24
Jon Balsbaugh,1.0,0.92,0.72,0.36,0.28
Jon Theisen,1.0,0.36,0.12,0.6,0.2
Jon Dickinson,0.96,0.48,0.2,0.04,0.2
Jen Balsbaugh,1.0,0.56,0.12,0.44,0.4
Jen Lott,0.92,0.36,0.28,0.44,0.2
Jen Theisen,0.92,0.72,0.36,0.56,0.44
Jen Dickinson,0.88,0.88,0.28,0.44,0.32
Corbin Balsbaugh,1.0,0.72,0.16,0.92,0.32
Corbin Lott,0.76,0.36,0.44,0.44,0.44
Corbin Theisen,1.0,0.88,0.8,0.36,0.16
Corbin Dickinson,1.0,0.6,0.44,0.64,0.32
Anna Balsbaugh,0.92,0.48,0.64,0.28,0.24
Anna Lott,0.84,0.24,0.64,0.44,0.24
Anna Theisen,0.84,0.36,0.56,0.56,0.28
Anna Dickinson,1.0,0.52,0.72,0.2,0.32
Charlie Balsbaugh,0.88,0.32,0.52,0.84,0.44
Charlie Lott,0.92,0.12,0.2,0.76,0.4
Charlie Theisen,0.88,0.16,0.08,0.16,0.24
Charlie Dickinson,1.0,0.2,0.4,0.6,0.16
Emma Balsbaugh,0.88,0.72,0.64,0.72,0.4
Emma Lott,1.0,0.08,0.76,0.76,0.32
Emma Theisen,1.0,0.32,0.64,0.48,0.32
Emma Dickinson,0.96,0.2,0.44,0.28,0.36
Bill Balsbaugh,1.0,0.72,0.48,0.96,0.28
Bill Lott,0.88,0.8,0.76,0.68,0.2
Bill Theisen,0.92,0.32,0.52,0.92,0.08
Bill Dickinson,1.0,0.2,0.36,0.52,0.4
Emily Balsbaugh,0.92,0.4,0.16,0.76,0.32
Emily Lott,1.0,0.68,0.56,0.28,0.2
Emily Theisen,1.0,0.44,0.36,0.4,0.2
Emily Dickinson,1.0,0.16,0.68,0.6,0.28
Dietrich Balsbaugh,1.0,0.96,0.56,0.56,0.48
Dietrich Lott,0.92,0.68,0.24,1.0,0.24
Dietrich Theisen,1.0,0.6,0.08,0.16,0.28
Dietrich Dickinson,1.0,0.04,0.4,0.56,0.32
Kasia Balsbaugh,1.0,0.88,0.2,0.76,0.36
Kasia Lott,0.92,0.64,0.64,0.4,0.16
Kasia Theisen,1.0,0.84,0.24,0.04,0.32
Kasia Dickinson,0.96,0.64,0.88,0.48,0.24
Josie Balsbaugh,1.0,0.88,0.12,0.32,0.32
Josie Lott,0.4,0.28,0.76,0.72,0.52
Josie Theisen,1.0,0.72,0.16,0.92,0.24
Josie Dickinson,1.0,0.36,0.6,0.72,0.4
Nate Balsbaugh,0.84,0.92,0.32,0.28,0.32
Nate Lott,1.0,0.76,0.92,0.48,0.2
Nate Theisen,0.68,0.48,0.12,0.6,0.28
Nate Dickinson,1.0,0.56,0.44,0.32,0.24
Elanor Balsbaugh,0.84,0.28,0.12,0.48,0.32
Elanor Lott,1.0,0.64,0.92,0.12,0.2
Elanor Theisen,0.84,0.2,0.64,0.16,0.28
Elanor Dickinson,0.96,0.72,0.32,0.32,0.4
Charis Balsbaugh,1.0,0.44,0.2,0.28,0.4
Charis Lott,0.68,0.16,0.8,0.64,0.28
Charis Theisen,0.96,0.4,0.76,0.0,0.28
Charis Dickinson,0.68,0.24,0.4,0.76,0.28
