name,gpt,gemini,claude,deepseek,grok
Wang Wei,0.0,0.7,0.3,0.3,0.2
Wang Hao,0.1,0.9,0.0,0.2,0.3
Wang Li,0.6,0.9,0.1,0.1,0.3
Wang Jian,0.1,1.0,0.1,0.1,0.5
Wang Mei,0.2,1.0,0.1,0.4,0.3
Wang Xia,0.2,1.0,0.7,0.2,0.4
Li Wei,0.6,1.0,0.3,0.5,0.5
Li Jian,0.9,1.0,0.1,0.5,0.4
Li Hao,0.8,0.9,0.1,0.3,0.2
Li Mei,0.9,0.9,0.2,0.3,0.3
Li Li,0.0,0.6,0.4,0.5,0.4
Zhang Wei,0.8,1.0,0.2,0.0,0.2
Li Xia,0.3,1.0,0.3,0.5,0.3
Zhang Jian,0.2,1.0,0.2,0.1,0.2
Zhang Hao,0.2,1.0,0.2,0.7,0.4
Zhang Li,0.7,1.0,0.1,0.3,0.1
Zhang Mei,0.0,1.0,0.1,0.2,0.2
Zhang Xia,0.2,0.9,0.2,0.4,0.4
Liu Wei,0.4,0.8,0.2,0.3,0.1
Liu Jian,0.5,0.8,0.2,0.0,0.4
Liu Hao,0.5,1.0,0.6,0.3,0.4
Liu Mei,0.4,1.0,0.0,0.2,0.6
Liu Li,0.5,0.7,0.6,0.7,0.2
Liu Xia,0.9,0.9,0.6,0.1,0.2
Chen Wei,0.3,0.5,0.0,0.2,0.4
Chen Jian,0.9,0.9,0.0,0.8,0.3
Chen Hao,0.4,1.0,0.2,1.0,0.4
Chen Mei,0.6,0.8,0.4,0.1,0.4
Chen Li,0.4,1.0,0.5,0.9,0.5
Chen Xia,0.6,1.0,0.0,0.5,0.2
Yang Wei,0.9,0.8,0.4,0.9,0.4
Yang Jian,0.7,0.7,0.4,0.4,0.1
Yang Hao,0.7,1.0,0.5,0.0,0.0
Yang Mei,0.3,1.0,0.4,0.6,0.3
Yang Li,0.2,0.8,0.0,0.6,0.4
Yang Xia,0.2,1.0,0.3,0.5,0.2
