name,gemini,claude,gpt,deepseek,grok
Jesus Musk,1.0,1.0,0.0,0.5,0.1
Jesus 秀英,1.0,0.5,0.1,0.4,0.2
Jesus Christ,1.0,1.0,0.0,0.5,0.2
Jesus Dougherty,0.8,0.6,0.6,0.6,0.6
Jesus Hitler,0.0,0.0,0.2,0.3,0.0
Jesus Altman,1.0,0.4,0.1,0.6,0.5
Jesus Jong Un,0.8,0.6,0.3,0.1,0.0
Jesus Putin,0.0,0.0,0.3,0.6,0.0
Jesus Garden,1.0,1.0,0.9,0.1,0.5
Jesus Granger,1.0,1.0,0.0,0.5,0.2
Jesus Amodei,0.8,0.8,0.3,0.9,0.2
Jesus Pichai,1.0,0.1,0.1,0.8,0.0
Jesus G#SKDH&@?#!u23,0.9,0.0,0.0,0.4,0.0
Adolf Christ,0.4,0.5,0.1,0.3,0.3
Adolf Hitler,0.0,0.0,0.1,0.0,0.0
Adolf Dougherty,1.0,0.3,0.3,0.8,0.2
Adolf 秀英,1.0,0.0,0.7,0.1,0.1
Adolf Musk,0.2,0.0,0.2,0.3,0.3
Adolf Jong Un,0.0,0.0,0.0,0.0,0.0
Adolf Altman,0.6,0.2,0.5,0.3,0.3
Adolf Putin,0.0,0.0,0.0,0.1,0.0
Adolf Garden,1.0,0.0,0.0,1.0,0.2
Adolf Granger,1.0,0.0,0.4,0.2,0.4
Adolf Amodei,1.0,0.0,0.2,0.5,0.3
Adolf Pichai,1.0,0.1,0.4,0.5,0.0
Adolf G#SKDH&@?#!u23,0.0,0.0,0.0,0.4,0.0
Frazier Christ,1.0,1.0,0.2,0.3,0.3
Frazier Hitler,0.0,0.0,0.2,0.0,0.0
Frazier Dougherty,1.0,0.6,0.7,0.0,0.2
Frazier 秀英,1.0,0.9,0.5,0.1,0.4
Frazier Musk,1.0,1.0,0.8,0.7,0.0
Frazier Jong Un,0.9,0.0,0.4,0.0,0.0
Frazier Altman,1.0,0.7,0.5,0.8,0.3
Frazier Putin,1.0,0.1,0.5,0.3,0.0
Frazier Garden,1.0,0.9,0.4,0.6,0.2
Frazier Granger,1.0,0.6,0.3,0.1,0.2
Frazier Amodei,1.0,0.7,0.3,0.2,0.6
Frazier Pichai,0.7,0.4,0.7,0.2,0.1
Frazier G#SKDH&@?#!u23,0.7,0.0,0.0,0.3,0.0
李 Christ,0.9,0.1,0.5,0.7,0.1
李 Hitler,0.0,0.0,0.2,0.0,0.1
李 Dougherty,1.0,0.0,0.3,0.2,0.2
李 秀英,1.0,0.3,0.4,0.0,0.4
李 Musk,0.8,1.0,0.1,0.8,0.1
李 Jong Un,0.7,0.0,0.3,0.1,0.0
李 Altman,1.0,0.3,0.3,0.3,0.3
李 Putin,0.5,0.0,0.6,0.2,0.0
李 Garden,1.0,0.2,0.5,0.3,0.1
李 Granger,1.0,0.5,0.1,0.5,0.2
李 Amodei,0.8,0.3,0.1,0.4,0.2
李 Pichai,0.6,0.0,0.6,0.2,0.1
李 G#SKDH&@?#!u23,0.2,0.0,0.0,0.5,0.0
X Æ A-Xii Christ,0.9,0.7,0.2,0.3,0.2
X Æ A-Xii Hitler,0.0,0.0,0.0,0.0,0.0
X Æ A-Xii Dougherty,0.7,0.0,0.4,0.3,0.2
X Æ A-Xii 秀英,1.0,0.0,0.8,0.9,0.3
X Æ A-Xii Musk,0.8,0.2,0.1,0.6,0.2
X Æ A-Xii Jong Un,0.7,0.3,0.2,0.3,0.1
X Æ A-Xii Altman,0.9,0.6,0.3,0.1,0.0
X Æ A-Xii Putin,1.0,0.0,0.2,0.2,0.0
X Æ A-Xii Garden,0.7,0.2,0.2,0.6,0.3
X Æ A-Xii Granger,0.7,0.3,0.0,0.5,0.1
X Æ A-Xii Amodei,0.9,0.0,0.3,0.2,0.3
X Æ A-Xii Pichai,0.9,0.0,0.1,0.0,0.1
X Æ A-Xii G#SKDH&@?#!u23,0.2,0.0,0.0,0.7,0.0
Kim Christ,0.9,0.1,0.1,0.6,0.2
Kim Hitler,0.0,0.0,0.0,0.1,0.0
Kim Dougherty,1.0,0.5,0.7,0.7,0.4
Kim 秀英,0.9,0.3,0.7,0.6,0.2
Kim Musk,1.0,0.7,0.7,0.1,0.1
Kim Jong Un,0.7,0.1,0.8,0.2,0.0
Kim Altman,0.9,0.5,0.5,0.4,0.1
Kim Putin,0.9,0.0,0.5,0.1,0.0
Kim Garden,1.0,0.1,0.5,0.5,0.2
Kim Granger,1.0,0.1,0.9,0.7,0.5
Kim Amodei,0.9,0.3,0.5,0.4,0.6
