name,gemini,claude,gpt,deepseek,grok
Sam Siciliano,1.0,0.64,0.32,0.24,0.44
Sam Battalio,1.0,0.52,0.28,0.28,0.36
Sam Yoshida,1.0,0.16,0.2,0.56,0.28
Sam Theisen,0.88,0.32,0.84,0.6,0.08
Sam Eiseman,0.88,0.96,0.64,0.48,0.32
Sam Marmion,0.2,0.88,0.8,0.48,0.6
Matt Battalio,1.0,0.32,0.4,0.08,0.32
Matt Siciliano,0.88,0.6,0.04,0.36,0.32
Matt Yoshida,1.0,0.72,0.36,0.12,0.36
Matt Theisen,1.0,0.64,0.4,0.52,0.44
Matt Eiseman,0.84,0.28,0.4,0.04,0.4
Matt Marmion,0.96,0.64,0.68,0.72,0.28
Noah Battalio,0.96,0.04,0.32,0.52,0.36
Noah Siciliano,1.0,0.24,0.08,0.6,0.28
Noah Yoshida,1.0,0.24,0.76,0.28,0.32
Noah Theisen,1.0,0.32,0.2,0.36,0.2
Noah Eiseman,1.0,0.92,0.68,0.36,0.2
Noah Marmion,0.68,0.36,0.76,0.72,0.2
Bill Battalio,1.0,0.2,0.12,0.68,0.36
Bill Siciliano,0.8,0.88,0.4,0.08,0.08
Bill Yoshida,1.0,0.36,0.24,0.32,0.32
Bill Theisen,0.92,0.4,0.36,0.84,0.24
Bill Eiseman,1.0,0.72,0.2,0.52,0.4
Bill Marmion,0.92,0.32,0.16,0.56,0.28
Mike Battalio,0.8,0.84,0.24,0.6,0.4
Mike Siciliano,0.88,0.56,0.48,0.8,0.28
Mike Yoshida,0.96,0.6,0.12,0.32,0.2
Mike Theisen,1.0,0.4,0.32,0.48,0.28
Mike Eiseman,1.0,0.76,0.64,0.68,0.16
Mike Marmion,0.92,0.84,0.4,0.76,0.4
Eamon Battalio,1.0,0.44,0.12,0.6,0.12
Eamon Siciliano,0.96,0.76,0.6,0.32,0.2
Eamon Yoshida,1.0,0.2,0.32,0.48,0.24
Eamon Theisen,1.0,0.32,0.16,0.16,0.44
Eamon Eiseman,1.0,0.44,0.36,0.36,0.44
Eamon Marmion,0.76,0.4,0.4,0.64,0.44
