name,gpt,claude,gemini,deepseek,grok
Muhammad Hassan,0.5,1.0,0.9,0.8,0.0
Muhammad Ali,0.6,1.0,0.9,0.9,0.2
Muhammad Hussein,0.2,1.0,1.0,0.4,0.0
Muhammad Khan,0.6,1.0,1.0,0.3,0.4
Muhammad Rahman,0.4,1.0,0.8,0.4,0.3
Muhammad Abdullah,0.6,1.0,0.9,0.4,0.3
Ahmad Hassan,0.2,1.0,1.0,0.6,0.5
Ahmad Hussein,0.6,1.0,1.0,0.4,0.3
Ahmad Khan,0.3,0.6,1.0,0.7,0.1
Ahmad Ali,0.1,1.0,0.8,0.4,0.6
Omar Hassan,0.3,0.9,1.0,0.4,0.2
Ahmad Abdullah,0.3,1.0,1.0,0.3,0.4
Omar Hussein,0.6,1.0,1.0,0.7,0.2
Omar Rahman,0.6,1.0,1.0,0.9,0.5
Omar Ali,0.4,1.0,1.0,0.5,0.5
Omar Khan,0.6,1.0,1.0,0.0,0.4
Ahmad Rahman,0.3,1.0,1.0,0.1,0.3
Ali Khan,0.3,0.9,1.0,0.8,0.2
Omar Abdullah,0.1,0.8,1.0,0.7,0.1
Ali Hassan,0.2,1.0,0.9,0.5,0.3
Ali Hussein,0.2,1.0,1.0,0.7,0.2
Ali Rahman,0.4,1.0,1.0,0.1,0.2
Ali Ali,0.5,1.0,1.0,0.2,0.3
Ali Abdullah,0.5,1.0,1.0,0.2,0.3
Fatima Hassan,0.7,0.3,1.0,0.4,0.4
Fatima Hussein,0.3,0.3,1.0,0.9,0.8
Fatima Khan,0.7,0.3,1.0,0.6,0.4
Fatima Ali,0.7,0.9,1.0,0.4,0.4
Fatima Rahman,0.7,0.5,1.0,0.9,0.3
Fatima Abdullah,0.8,0.5,1.0,0.1,0.5
Aisha Hassan,0.6,0.8,1.0,0.7,0.1
Aisha Khan,0.9,0.6,1.0,0.4,0.5
Aisha Hussein,0.4,0.7,0.8,0.4,0.1
Aisha Rahman,0.5,0.1,1.0,0.6,0.4
Aisha Ali,0.4,0.6,1.0,0.1,0.6
Aisha Abdullah,0.6,0.3,0.9,0.4,0.5
