name,gemini,claude,deepseek,grok,gpt
Aidan Theisen,1.0,0.64,0.44,0.16,0.0
Aidan Boyd,0.84,0.4,0.52,0.16,0.8
Aidan Carmichael,1.0,0.44,0.44,0.4,0.04
Aidan Albiero,0.92,0.8,0.36,0.28,0.68
Aidan Gonzales,1.0,0.68,0.84,0.32,0.72
Aidan Tinsley,0.68,0.4,0.52,0.24,0.16
Aidan Dulay,0.6,0.36,0.48,0.24,0.52
Aidan Grieggs,1.0,0.44,0.2,0.2,0.6
Bill Boyd,1.0,0.8,0.24,0.28,0.6666666666666666
Bill Theisen,0.88,0.52,0.8,0.36,0.16
Bill Carmichael,0.92,0.72,0.36,0.36,0.08
Bill Albiero,0.96,0.72,0.84,0.12,0.04
Bill Gonzales,0.96,0.52,0.52,0.36,0.36
Bill Tinsley,0.92,0.64,0.64,0.32,0.32
Bill Dulay,0.44,0.84,0.8,0.24,0.72
Bill Grieggs,0.96,0.72,0.48,0.32,0.24
Zach Boyd,0.92,0.8,0.12,0.08,0.44
Zach Theisen,0.96,0.88,0.76,0.28,0.4
Zach Carmichael,0.92,0.68,0.36,0.24,0.52
Zach Albiero,1.0,0.88,0.72,0.2,0.16
Zach Gonzales,1.0,0.88,0.32,0.28,0.84
Zach Tinsley,0.56,1.0,0.72,0.36,0.56
Zach Dulay,1.0,0.96,0.36,0.12,0.44
Zach Grieggs,0.08,0.88,0.68,0.48,0.44
Jeremy Boyd,0.92,0.92,0.84,0.48,0.6
Jeremy Theisen,0.72,0.56,0.44,0.2,0.8
Jeremy Carmichael,0.88,0.76,0.36,0.32,0.04
Jeremy Albiero,1.0,0.56,0.24,0.28,0.72
Jeremy Gonzales,1.0,0.52,0.04,0.24,0.68
Jeremy Tinsley,0.96,0.72,0.32,0.16,0.4
Jeremy Dulay,0.96,0.76,0.92,0.12,0.12
Jeremy Grieggs,0.84,0.72,0.2,0.24,0.48
Vitor Boyd,1.0,0.88,0.56,0.2,0.88
Vitor Theisen,1.0,0.68,0.12,0.24,0.36
Vitor Carmichael,0.92,0.76,0.8,0.36,0.68
Vitor Albiero,1.0,0.92,0.44,0.52,0.4
Vitor Gonzales,1.0,0.8,0.72,0.4,0.2
Vitor Tinsley,0.84,0.8,0.4,0.48,0.72
Vitor Dulay,0.96,0.88,0.48,0.48,0.08
Vitor Grieggs,0.76,0.96,0.68,0.16,0.16
Dan Boyd,1.0,0.96,0.44,0.32,0.4
Dan Theisen,0.88,0.6,0.68,0.24,0.36
Dan Carmichael,0.92,0.72,0.12,0.44,0.44
Dan Albiero,1.0,0.32,0.56,0.2,0.36
Dan Gonzales,0.84,0.16,0.28,0.32,0.32
Dan Tinsley,0.88,0.44,0.52,0.44,0.6
Dan Dulay,0.8,0.76,0.24,0.4,0.52
Dan Grieggs,1.0,0.64,0.48,0.12,0.72
Patrick Boyd,1.0,0.8,0.48,0.16,0.32
Patrick Theisen,0.84,0.2,0.2,0.36,0.48
Patrick Carmichael,0.88,0.76,0.16,0.28,0.28
Patrick Albiero,0.92,0.88,0.64,0.4,0.56
Patrick Gonzales,1.0,0.64,0.56,0.6,1.0
Patrick Tinsley,0.92,0.84,0.92,0.44,0.84
Patrick Dulay,1.0,0.88,0.6,0.32,0.28
Patrick Grieggs,0.84,0.8,0.36,0.32,0.32
Justin Boyd,0.76,1.0,0.28,0.2,0.8
Justin Theisen,0.84,0.88,0.32,0.2,0.64
Justin Carmichael,1.0,0.56,0.32,0.44,0.12
Justin Albiero,0.88,0.8,0.84,0.2,0.12
Justin Gonzales,1.0,0.64,0.24,0.4,0.28
Justin Tinsley,0.88,1.0,0.72,0.44,0.52
Justin Dulay,0.92,0.88,0.68,0.32,0.24
Justin Grieggs,0.84,0.64,0.24,0.24,0.92
Sam Boyd,1.0,0.84,0.48,0.2,0.16
Sam Theisen,0.96,0.4,0.56,0.2,0.76
Sam Carmichael,0.84,0.48,0.04,0.24,0.2
Sam Albiero,1.0,0.96,0.8,0.16,0.16
Sam Gonzales,1.0,0.92,0.28,0.2,0.64
Sam Tinsley,0.92,0.32,0.28,0.16,0.2
Sam Dulay,0.84,0.84,0.6,0.32,0.08
Sam Grieggs,0.84,0.8,0.72,0.16,0.56
