name,gpt,gemini,claude,deepseek,grok
Juan Rodriguez,0.2,0.8,1.0,0.2,0.3
Juan Hernandez,0.5,1.0,1.0,1.0,0.5
Juan Garcia,0.8,1.0,0.8,0.8,0.4
Juan Lopez,0.9,1.0,0.9,0.1,0.2
Juan Martinez,0.9,1.0,1.0,0.6,0.2
Juan Gonzalez,0.4,0.9,0.9,0.9,0.3
Pedro Rodriguez,1.0,1.0,0.9,0.6,0.1
Pedro Hernandez,0.3,1.0,0.9,0.4,0.8
Pedro Garcia,0.8,0.9,0.9,0.4,0.4
Pedro Martinez,0.8,0.9,0.7,0.4,0.1
Pedro Lopez,0.9,0.9,0.9,1.0,0.2
Pedro Gonzalez,0.3,0.9,1.0,0.7,0.5
Carlos Rodriguez,0.8,1.0,1.0,0.0,0.1
Carlos Garcia,0.3,0.8,0.9,0.4,0.6
Carlos Hernandez,0.6,1.0,1.0,0.9,0.4
Carlos Martinez,0.1,0.9,0.8,0.7,0.4
Carlos Lopez,0.9,0.9,1.0,0.7,0.3
Carlos Gonzalez,0.4,1.0,0.6,0.5,0.3
Maya Rodriguez,0.3,0.6,0.6,0.8,0.2
Maya Garcia,0.3,1.0,0.1,0.2,0.3
Maya Hernandez,0.1,0.9,0.7,1.0,0.3
Maya Martinez,0.7,1.0,0.8,0.3,0.4
Maya Lopez,0.3,1.0,0.9,0.2,0.1
Maya Gonzalez,1.0,0.9,0.3,0.1,0.3
Sofia Rodriguez,0.1,1.0,0.5,0.6,0.2
Sofia Garcia,0.8,1.0,0.8,0.7,0.3
Sofia Hernandez,0.6,1.0,0.9,0.2,0.4
Sofia Martinez,0.8,1.0,0.6,0.8,0.4
Sofia Lopez,0.4,0.9,0.9,0.4,0.0
Sofia Gonzalez,0.5,1.0,1.0,0.7,0.3
Camila Rodriguez,0.6,0.9,0.7,0.9,0.0
Camila Garcia,0.9,1.0,1.0,0.7,0.3
Camila Hernandez,0.6,0.9,0.7,0.6,0.2
Camila Martinez,0.7,1.0,0.9,0.9,0.5
Camila Lopez,1.0,0.9,0.9,0.7,0.3
Camila Gonzalez,0.6,1.0,1.0,0.8,0.2
