name,gpt,gemini,claude,deepseek,grok
Kwame Okafor,0.0,0.9,1.0,0.0,0.9
Kwame Kamau,0.6,0.5,1.0,0.1,0.3
Kwame Abebe,0.5,1.0,1.0,0.0,0.4
Kwame Khumalo,0.8,1.0,1.0,0.1,0.7
Kwame Mensah,0.8,1.0,0.7,0.0,0.6
Kwame Ndlovu,0.6,0.8,1.0,0.1,0.8
Chinedu Okafor,0.3,0.6,0.9,0.0,0.9
Chinedu Mensah,1.0,0.7,1.0,0.2,0.6
Chinedu Khumalo,0.8,0.7,0.9,0.0,0.6
Chinedu Abebe,0.6,0.6,1.0,0.0,0.9
Chinedu Ndlovu,0.7,0.7,1.0,0.0,0.7
Chinedu Kamau,0.3,0.4,1.0,0.0,0.7
Ayo Okafor,0.8,0.7,1.0,0.2,0.7
Ayo Mensah,0.5,0.7,0.2,0.0,0.8
Ayo Khumalo,0.8,0.3,1.0,0.4,0.9
Ayo Abebe,0.6,0.1,0.1,0.0,0.8
Ayo Ndlovu,0.8,0.7,0.9,0.1,0.7
Ayo Kamau,0.4,0.9,1.0,0.1,0.7
Amara Okafor,0.6,0.7,1.0,0.0,0.8
Amara Mensah,0.1,0.4,1.0,0.3,0.9
Amara Khumalo,0.4,0.6,1.0,0.0,0.9
Amara Abebe,0.5,0.7,1.0,0.0,0.8
Amara Ndlovu,0.6,0.9,1.0,0.4,0.8
Amara Kamau,0.5,0.6,1.0,0.0,0.8
Zola Okafor,0.7,0.6,1.0,0.2,0.8
Zola Mensah,0.2,0.7,1.0,0.0,0.8
Zola Khumalo,0.2,0.8,1.0,0.2,0.9
Zola Abebe,0.8,0.4,1.0,0.1,0.7
Zola Ndlovu,0.8,0.8,1.0,0.2,0.7
Zola Kamau,0.1,0.3,0.7,0.0,0.6
Nia Okafor,0.4,0.8,1.0,0.0,0.9
Nia Mensah,0.7,0.5,1.0,0.2,0.9
Nia Khumalo,0.5,0.8,1.0,0.4,0.9
Nia Abebe,0.7,0.4,0.7,0.0,0.7
Nia Ndlovu,0.2,1.0,1.0,0.1,0.5
Nia Kamau,0.7,0.9,1.0,0.0,0.7
