name,gpt,gemini,claude,deepseek,grok
James Smith,0.6,0.3,0.3,0.0,0.6
James Johnson,0.6,0.2,0.0,0.0,0.6
James Brown,0.3,0.9,0.2,0.2,0.9
James Newburry,0.4,0.2,0.0,0.0,0.6
James Miller,0.0,0.6,0.8,0.0,0.6
James Jones,0.7,0.1,0.2,0.0,0.8
Phillip Smith,0.7,0.6,0.0,0.0,0.7
Phillip Johnson,0.2,0.2,0.8,0.0,0.7
Phillip Newburry,0.1,0.4,0.0,0.1,0.7
Phillip Brown,0.4,0.2,0.2,0.0,0.4
Phillip Jones,0.8,0.5,0.1,0.0,0.7
Phillip Miller,0.7,0.7,0.7,0.0,0.6
William Smith,0.2,0.8,0.0,0.2,0.6
William Johnson,0.6,0.8,0.2,0.0,0.4
William Newburry,0.5,0.5,0.2,0.0,0.7
William Brown,0.5,0.7,0.9,0.0,0.9
William Jones,0.7,0.3,0.3,0.0,0.7
William Miller,0.7,0.9,0.3,0.1,0.7
Emily Smith,0.4,0.2,1.0,0.5,0.5
Emily Johnson,0.8,0.8,0.9,0.0,0.4
Emily Newburry,0.4,0.5,0.0,0.0,0.9
Emily Brown,0.7,0.5,0.9,0.0,0.6
Emily Jones,0.4,0.3,0.4,0.1,0.6
Emily Miller,0.5,0.4,0.0,0.0,0.5
Phillipa Smith,0.5,0.7,0.7,0.3,0.5
Phillipa Newburry,0.3,0.6,0.3,0.0,0.8
Phillipa Johnson,0.6,0.5,0.9,0.3,1.0
Phillipa Brown,0.8,0.6,0.7,0.2,0.5
Phillipa Jones,0.8,1.0,0.4,0.1,0.7
Phillipa Miller,0.8,0.4,1.0,0.1,0.5
Hannah Smith,0.7,0.7,0.8,0.1,0.7
Hannah Johnson,0.7,0.2,0.0,0.0,0.8
Hannah Newburry,0.1,0.9,1.0,0.3,0.8
Hannah Brown,0.5,0.6,1.0,0.1,0.7
Hannah Jones,0.3,0.2,0.6,0.1,0.7
Hannah Miller,0.9,0.6,1.0,0.0,0.8
