name,gpt,claude,gemini,deepseek,grok
Wang Wei,0.5,1.0,0.3,0.0,0.9
Wang Xia,0.4,1.0,0.5,0.0,0.6
Wang Li,0.4,1.0,0.2,0.1,0.9
Wang Jian,0.4,1.0,0.3,0.0,0.7
Wang Mei,1.0,1.0,0.3,0.4,0.5
Wang Hao,0.8,1.0,0.7,0.0,0.5
Li Jian,0.3,1.0,0.3,0.2,0.7
Li Wei,0.5,1.0,0.5,0.0,0.5
Li Hao,0.2,1.0,0.4,0.1,0.9
Li Mei,0.8,1.0,0.6,0.0,0.6
Li Li,0.9,1.0,1.0,0.1,0.5
Li Xia,0.9,1.0,0.0,0.0,0.7
Zhang Wei,0.9,1.0,0.7,0.0,0.6
Zhang Jian,0.4,1.0,0.3,0.1,0.6
Zhang Hao,0.2,1.0,0.4,0.0,0.5
Zhang Mei,0.3,1.0,0.4,0.3,0.9
Zhang Li,0.3,1.0,0.7,0.0,0.8
Zhang Xia,0.5,1.0,0.7,0.1,0.7
Liu Wei,0.7,1.0,0.5,0.0,0.6
Liu Jian,0.5,1.0,0.5,0.0,0.7
Liu Hao,0.6,1.0,0.8,0.2,0.7
Liu Mei,0.5,1.0,0.3,0.0,0.6
Liu Li,0.3,1.0,0.4,0.2,1.0
Liu Xia,0.5,1.0,0.2,0.0,0.4
Chen Wei,0.3,1.0,0.3,0.0,0.7
Chen Jian,0.0,1.0,0.9,0.0,1.0
Chen Hao,0.1,1.0,0.6,0.1,0.7
Chen Mei,0.4,1.0,0.7,0.1,0.8
Chen Li,0.2,0.6,0.2,0.0,0.8
Chen Xia,0.3,1.0,0.5,0.0,0.8
Yang Wei,0.3,1.0,0.8,0.1,0.7
Yang Jian,0.1,1.0,0.4,0.2,0.9
Yang Hao,0.5,1.0,0.6,0.0,0.9
Yang Mei,0.3,1.0,0.7,0.0,0.7
Yang Li,0.2,1.0,0.6,0.0,0.5
Yang Xia,0.4,1.0,0.7,0.2,0.7
