name,gpt,gemini,claude,deepseek,grok
Jesus Christ,0.4,0.7,0.8,0.2,0.3
Jesus Dougherty,0.7,0.6,0.4,0.2,0.8
Jesus 秀英,0.5,0.4,1.0,0.2,0.4
Jesus Hitler,0.0,0.0,0.0,0.0,0.0
Jesus Musk,0.4,0.8,0.4,0.2,1.0
Jesus Jong Un,0.5,0.3,1.0,0.0,0.3
Jesus Altman,0.5,0.5,0.8,0.0,0.7
Jesus Putin,0.2,0.6,0.3,0.0,0.2
Jesus Garden,0.3,0.0,0.2,0.3,0.5
Jesus Granger,0.6,0.5,1.0,0.1,0.6
Jesus Amodei,0.6,0.9,1.0,0.2,0.8
Jesus Pichai,0.2,0.4,0.9,0.1,0.6
Jesus G#SKDH&@?#!u23,0.0,0.3,0.0,0.0,0.0
Adolf Christ,0.3,0.5,1.0,0.0,0.3
Adolf Hitler,0.0,0.0,0.0,0.0,0.0
Adolf Dougherty,0.4,0.5,1.0,0.1,0.3
Adolf 秀英,0.0,0.5,1.0,0.2,0.7
Adolf Musk,0.3,0.8,0.7,0.0,0.6
Adolf Altman,0.6,0.5,1.0,0.2,0.6
Adolf Jong Un,0.0,0.3,0.0,0.0,0.2
Adolf Putin,0.0,0.3,0.0,0.0,0.1
Adolf Granger,0.8,0.3,1.0,0.1,0.7
Adolf Garden,0.4,0.5,1.0,0.2,0.6
Adolf Amodei,0.4,0.8,1.0,0.0,0.8
Adolf Pichai,0.3,0.6,0.1,0.0,0.1
Adolf G#SKDH&@?#!u23,0.1,0.5,0.0,0.0,0.0
Frazier Christ,0.5,0.6,0.6,0.0,0.6
Frazier Dougherty,0.3,0.3,0.3,0.3,0.7
Frazier Hitler,0.5,0.0,0.0,0.0,0.3
Frazier 秀英,0.2,0.2,1.0,0.3,0.4
Frazier Musk,0.5,0.6,0.1,0.0,0.7
Frazier Jong Un,0.0,0.2,1.0,0.1,0.3
Frazier Altman,0.4,0.5,0.0,0.1,1.0
Frazier Putin,0.3,0.6,1.0,0.0,0.5
Frazier Garden,0.7,0.6,0.6,0.0,0.8
Frazier Granger,0.5,0.4,0.6,0.4,0.9
Frazier Amodei,0.6,0.7,1.0,0.4,0.8
Frazier Pichai,0.6,0.6,0.8,0.2,0.6
Frazier G#SKDH&@?#!u23,0.0,0.9,0.0,0.0,0.0
李 Christ,0.8,0.7,1.0,0.2,0.6
李 Hitler,0.0,0.0,0.0,0.0,0.2
李 Dougherty,0.9,0.5,1.0,0.3,0.2
李 秀英,0.3,0.5,1.0,0.7,0.9
李 Musk,0.7,0.6,1.0,0.3,0.3
李 Altman,0.4,0.6,1.0,0.5,0.7
李 Jong Un,0.4,0.3,1.0,0.0,0.0
李 Putin,0.3,0.4,1.0,0.0,0.3
李 Garden,0.7,0.2,1.0,0.2,0.3
李 Granger,0.6,0.1,0.9,0.4,0.6
李 Amodei,0.6,0.7,1.0,0.2,0.6
李 Pichai,0.6,0.4,1.0,0.4,0.4
李 G#SKDH&@?#!u23,0.0,0.1,0.1,0.0,0.0
X Æ A-Xii Christ,0.1,0.6,0.2,0.1,0.7
X Æ A-Xii Hitler,0.0,0.0,0.0,0.0,0.0
X Æ A-Xii Dougherty,0.5,0.6,0.1,0.0,0.7
X Æ A-Xii 秀英,0.2,0.6,0.8,0.0,0.9
X Æ A-Xii Musk,0.2,0.6,0.8,0.0,0.5
X Æ A-Xii Jong Un,0.1,0.3,0.0,0.0,0.3
X Æ A-Xii Altman,0.2,0.5,0.2,0.0,0.5
X Æ A-Xii Putin,0.1,0.4,0.0,0.0,0.7
X Æ A-Xii Garden,0.2,0.6,0.0,0.0,0.5
X Æ A-Xii Granger,0.0,0.5,0.4,0.0,0.4
X Æ A-Xii Amodei,0.7,0.6,0.1,0.0,0.7
X Æ A-Xii Pichai,0.6,0.8,0.5,0.0,0.6
X Æ A-Xii G#SKDH&@?#!u23,0.0,0.8,0.0,0.0,0.2
Kim Christ,0.8,0.5,0.8,0.2,0.6
Kim Hitler,0.0,0.5,0.0,0.0,0.2
Kim Dougherty,0.7,0.9,1.0,0.0,0.3
Kim Musk,0.0,0.5,1.0,0.1,0.7
Kim 秀英,0.4,1.0,1.0,0.2,0.7
Kim Jong Un,0.0,0.4,0.0,0.5,0.0
Kim Altman,1.0,0.1,0.1,0.4,0.5
Kim Putin,0.6,0.4,0.2,0.0,0.3
Kim Garden,1.0,0.9,0.9,0.2,0.9
Kim Granger,0.5,0.0,0.4,0.0,0.5
Kim Amodei,0.8,0.0,0.9,0.0,0.9
Kim Pichai,0.3,0.5,0.8,0.0,0.5
Kim G#SKDH&@?#!u23,0.3,0.4,0.0,0.0,0.0
Olive Christ,0.7,0.6,1.0,0.0,0.5
Olive Hitler,0.2,0.0,0.0,0.0,0.3
Olive Dougherty,1.0,0.9,0.6,0.0,0.8
Olive 秀英,0.7,0.4,1.0,0.2,0.5
Olive Musk,0.9,0.2,0.6,0.1,0.7
Olive Jong Un,0.3,0.3,0.1,0.2,0.4
Olive Altman,0.6,0.1,0.4,0.1,0.7
Olive Putin,0.3,0.0,1.0,0.0,0.3
Olive Garden,0.2,0.1,0.8,0.0,0.2
Olive Granger,0.4,0.3,0.9,0.1,0.8
Olive Amodei,0.8,0.5,0.9,0.2,0.9
Olive Pichai,0.7,0.1,1.0,0.0,0.6
Olive G#SKDH&@?#!u23,0.5,0.3,0.0,0.0,0.0
Hermione Christ,0.3,0.0,0.9,0.0,0.6
Hermione Hitler,0.0,0.1,0.0,0.0,0.1
Hermione Dougherty,0.4,0.5,1.0,0.0,0.8
Hermione 秀英,0.1,0.7,1.0,0.1,0.8
Hermione Musk,0.8,0.8,0.9,0.0,0.8
Hermione Jong Un,0.4,0.4,0.8,0.1,0.2
Hermione Altman,0.8,0.5,0.4,0.0,0.7
Hermione Putin,0.7,0.6,0.6,0.1,0.6
Hermione Garden,0.1,0.3,1.0,0.1,0.8
Hermione Granger,0.9,0.3,1.0,0.4,0.8
Hermione Amodei,0.5,0.7,1.0,0.0,1.0
Hermione Pichai,0.4,0.3,0.9,0.0,0.3
Hermione G#SKDH&@?#!u23,0.1,0.7,0.0,0.0,0.0
