name,gpt,gemini,claude,deepseek,grok
Aarav Sharma,0.3,0.8,0.2,0.0,0.8
Aarav Patel,0.4,0.5,1.0,0.0,0.9
Aarav Kumar,0.3,0.8,0.2,0.3,0.9
Aarav Singh,0.4,0.9,1.0,0.3,0.7
Aarav Gupta,0.6,0.8,0.5,0.0,1.0
Aarav Reddy,0.6,0.6,0.0,0.0,0.8
Reyansh Sharma,0.4,1.0,0.4,0.1,0.9
Reyansh Kumar,0.7,0.9,1.0,0.0,0.7
Reyansh Gupta,0.4,0.7,0.8,0.0,1.0
Reyansh Patel,0.8,0.9,0.4,0.0,0.7
Reyansh Reddy,0.1,0.3,0.4,0.0,0.7
Reyansh Singh,0.7,0.6,0.8,0.0,0.3
Arjun Sharma,0.3,0.5,0.9,0.0,0.9
Arjun Kumar,0.1,1.0,0.6,0.2,0.9
Arjun Gupta,0.2,0.3,0.9,0.0,0.9
Arjun Singh,0.4,0.7,0.8,0.0,0.8
Arjun Patel,0.7,0.8,0.2,0.0,0.8
Arjun Reddy,0.2,0.7,0.2,0.0,0.6
Ananya Sharma,0.4,0.8,1.0,0.0,1.0
Ananya Kumar,0.3,0.5,1.0,0.0,0.8
Ananya Gupta,0.7,0.9,0.9,0.1,0.6
Ananya Patel,0.7,0.5,0.9,0.2,0.7
Ananya Singh,0.8,0.4,1.0,0.1,0.9
Ananya Reddy,1.0,0.7,1.0,0.0,0.6
Diya Sharma,0.6,0.0,0.9,0.0,1.0
Diya Kumar,0.1,0.9,0.9,0.0,1.0
Diya Gupta,0.6,0.6,1.0,0.0,1.0
Diya Patel,0.5,0.1,0.0,0.2,0.8
Diya Singh,0.6,0.2,0.8,0.3,0.8
Diya Reddy,0.4,0.3,0.9,0.1,0.6
Pihu Sharma,0.5,0.9,1.0,0.1,0.7
Pihu Kumar,0.2,0.9,0.9,0.0,0.7
Pihu Gupta,0.3,0.8,1.0,0.2,0.8
Pihu Patel,0.4,0.5,1.0,0.0,0.7
Pihu Reddy,0.3,0.8,0.7,0.1,0.7
Pihu Singh,0.5,0.6,0.0,0.0,0.6
