name,gpt,gemini,claude,deepseek,grok
Muhammad Hassan,0.0,0.7,1.0,0.2,0.8
Muhammad Ali,0.3,0.2,0.9,0.2,0.4
Muhammad Hussein,0.6,0.9,1.0,0.0,0.5
Muhammad Khan,1.0,0.7,1.0,0.0,0.8
Muhammad Abdullah,0.8,0.6,1.0,0.0,0.9
Muhammad Rahman,0.5,0.6,1.0,0.3,0.7
Ahmad Hassan,0.5,0.8,1.0,0.1,0.6
Ahmad Hussein,0.5,0.5,1.0,0.0,0.5
Ahmad Khan,0.4,0.8,0.8,0.0,0.7
Ahmad Rahman,0.8,0.8,1.0,0.0,0.5
Ahmad Ali,0.3,0.4,0.8,0.1,0.8
Ahmad Abdullah,0.3,0.2,1.0,0.0,1.0
Omar Hassan,0.9,0.2,0.5,0.0,0.4
Omar Hussein,0.9,0.7,1.0,0.0,0.5
Omar Khan,0.4,1.0,0.9,0.0,0.7
Omar Rahman,0.3,0.8,1.0,0.0,0.4
Omar Ali,0.8,0.7,1.0,0.0,0.6
Omar Abdullah,0.4,0.9,0.7,0.1,0.7
Ali Hassan,0.8,0.7,1.0,0.0,0.7
Ali Hussein,0.2,1.0,1.0,0.0,0.6
Ali Khan,0.1,0.7,0.9,0.0,0.7
Ali Rahman,0.6,0.4,1.0,0.0,0.8
Ali Ali,0.2,0.6,0.6,0.3,0.4
Ali Abdullah,0.7,0.2,1.0,0.0,0.5
Fatima Hassan,0.4,0.5,1.0,0.3,0.6
Fatima Hussein,0.4,0.4,1.0,0.0,0.9
Fatima Khan,0.8,0.9,1.0,0.4,0.5
Fatima Rahman,0.7,0.4,1.0,0.1,0.4
Fatima Ali,0.5,0.3,1.0,0.3,0.6
Fatima Abdullah,0.6,0.5,1.0,0.1,0.7
Aisha Hassan,0.2,0.2,1.0,0.1,0.8
Aisha Hussein,0.8,1.0,1.0,0.2,0.6
Aisha Khan,0.6,0.6,1.0,0.1,0.9
Aisha Rahman,0.2,0.7,1.0,0.1,0.5
Aisha Abdullah,0.4,0.8,1.0,0.4,0.7
Aisha Ali,0.8,0.7,1.0,0.1,0.7
