name,gpt,gemini,claude,deepseek,grok
Aidan Boyd,0.52,0.2,0.6,0.04,0.6
Aidan Theisen,0.4,0.16,0.72,0.12,0.92
Aidan Carmichael,0.72,0.76,0.16,0.0,0.52
Aidan Speth,0.32,0.52,0.12,0.12,0.8
Aidan Albiero,0.84,0.36,1.0,0.0,0.68
Aidan Gonzales,0.32,0.76,0.44,0.04,0.76
Aidan Gonzalez,0.88,0.48,0.08,0.08,0.96
Aidan Gonzalel,0.44,0.76,0.0,0.04,0.4
Aidan Tinsley,0.4,0.44,0.36,0.0,0.76
Aidan Dulay,0.56,0.32,0.8,0.0,0.72
Aidan Grieggs,0.52,0.24,0.16,0.04,0.56
Bill Boyd,0.2,0.36,0.24,0.04,0.32
Bill Theisen,0.8,0.8,0.0,0.08,0.72
Bill Carmichael,0.6,0.68,0.32,0.0,0.48
Bill Speth,0.32,0.36,0.0,0.0,0.52
Bill Albiero,0.48,0.44,0.08,0.2,0.72
Bill Gonzales,0.48,0.76,0.36,0.04,0.6
Bill Gonzalez,0.88,0.32,0.0,0.0,0.64
Bill Gonzalel,0.12,0.52,0.0,0.16,0.32
Bill Tinsley,0.6,0.36,0.0,0.48,0.68
Bill Dulay,0.76,0.32,0.0,0.16,0.64
Bill Grieggs,0.12,0.76,0.0,0.04,0.64
William Boyd,0.64,0.08,0.28,0.12,0.68
William Theisen,0.28,0.76,0.88,0.2,0.76
William Carmichael,0.6,0.52,0.24,0.12,0.48
William Speth,0.56,0.88,0.56,0.08,0.48
William Albiero,0.6,0.32,0.2,0.16,0.88
William Gonzales,0.76,0.88,0.52,0.0,0.72
William Gonzalez,0.48,0.28,0.68,0.04,0.76
William Gonzalel,0.08,0.44,0.04,0.12,0.6
William Tinsley,0.44,0.84,0.4,0.08,0.64
William Dulay,0.76,0.56,0.4,0.0,0.52
William Grieggs,0.48,0.28,0.12,0.28,0.32
Zach Boyd,0.92,0.44,1.0,0.0,0.6
Zach Theisen,0.48,0.52,0.2,0.24,0.68
Zach Carmichael,0.56,0.32,0.04,0.12,0.88
Zach Speth,0.48,0.48,0.28,0.12,0.44
Zach Albiero,0.6,0.72,0.48,0.0,0.64
Zach Gonzales,0.68,0.48,0.16,0.28,0.72
Zach Gonzalez,0.44,0.28,0.16,0.08,0.88
Zach Gonzalel,0.08,0.4,0.16,0.0,0.32
Zach Tinsley,0.76,0.8,0.04,0.0,0.72
Zach Dulay,0.6,0.6,0.2,0.0,0.48
Zach Grieggs,0.04,0.44,0.24,0.0,0.64
Zachariah Boyd,0.72,0.72,0.88,0.08,0.8
Zachariah Theisen,0.08,0.4,0.92,0.08,0.76
Zachariah Carmichael,0.68,0.96,0.92,0.0,0.6
Zachariah Speth,0.4,0.28,1.0,0.2,0.72
Zachariah Albiero,0.6,0.84,0.8,0.04,0.92
Zachariah Gonzales,0.68,0.68,0.96,0.04,0.8
Zachariah Gonzalez,0.44,0.92,0.52,0.12,0.84
Zachariah Gonzalel,0.44,0.44,0.12,0.04,0.4
Zachariah Tinsley,0.64,0.56,0.84,0.28,0.8
Zachariah Dulay,0.44,0.64,0.2,0.16,0.4
Zachariah Grieggs,0.28,0.12,0.64,0.0,0.64
Jeremy Boyd,0.52,0.8,0.0,0.0,0.52
Jeremy Theisen,0.16,0.48,0.48,0.2,0.72
Jeremy Carmichael,0.68,0.64,0.16,0.24,0.76
Jeremy Speth,0.28,0.4,0.04,0.0,0.52
Jeremy Albiero,0.32,0.56,0.12,0.08,0.76
Jeremy Gonzales,0.76,0.8,0.68,0.0,0.72
Jeremy Gonzalez,0.52,0.76,0.12,0.0,0.8
Jeremy Gonzalel,0.32,0.8,0.0,0.0,0.48
Jeremy Tinsley,0.24,0.72,0.2,0.08,0.76
Jeremy Dulay,0.12,0.12,0.36,0.08,0.56
Jeremy Grieggs,0.72,0.72,0.0,0.04,0.56
Vitor Boyd,0.8,0.44,0.8,0.12,0.84
Vitor Theisen,0.72,0.24,0.68,0.08,0.72
Vitor Carmichael,0.52,0.76,0.0,0.08,0.76
Vitor Speth,0.68,0.64,0.88,0.32,0.68
