name,gpt,claude,gemini,deepseek,grok
Juan Rodriguez,0.4,0.8,0.7,0.2,0.6
Juan Gonzalez,0.5,0.7,0.5,0.0,0.7
Juan Garcia,0.6,0.4,0.7,0.2,0.8
Juan Lopez,0.4,0.4,0.5,0.3,0.7
Juan Martinez,0.6,0.9,0.6,0.3,0.7
Juan Hernandez,0.8,1.0,0.5,0.1,0.4
Pedro Rodriguez,0.7,0.4,0.9,0.0,0.5
Pedro Garcia,0.5,0.0,1.0,0.2,0.7
Pedro Hernandez,0.0,0.0,0.6,0.0,0.3
Pedro Martinez,0.4,0.8,0.3,0.0,0.7
Pedro Lopez,0.3,0.0,0.7,0.2,0.6
Carlos Rodriguez,0.6,1.0,0.6,0.1,0.7
Pedro Gonzalez,0.4,0.0,0.8,0.4,0.6
Carlos Garcia,0.2,1.0,0.4,0.0,0.6
Carlos Hernandez,0.4,0.8,0.8,0.0,0.8
Carlos Martinez,0.7,1.0,0.8,0.0,0.6
Carlos Lopez,0.5,0.4,1.0,0.0,0.6
Carlos Gonzalez,0.2,0.7,0.8,0.2,0.5
Maya Rodriguez,0.5,1.0,0.3,0.2,0.7
Maya Garcia,0.5,0.9,0.2,0.0,0.7
Maya Hernandez,0.6,1.0,0.8,0.2,0.8
Maya Martinez,0.9,1.0,0.7,0.0,0.7
Maya Lopez,0.5,1.0,0.3,0.1,0.7
Maya Gonzalez,0.8,0.8,0.7,0.0,0.9
Sofia Rodriguez,0.6,0.9,0.4,0.2,0.8
Sofia Garcia,0.7,1.0,0.4,0.0,0.9
Sofia Hernandez,0.7,1.0,0.7,0.0,0.4
Sofia Martinez,0.5,1.0,0.7,0.0,0.7
Sofia Lopez,0.3,1.0,0.8,0.1,0.7
Sofia Gonzalez,0.9,1.0,0.3,0.0,0.5
Camila Rodriguez,0.6,1.0,0.5,0.0,0.6
Camila Garcia,0.4,1.0,0.7,0.0,0.6
Camila Hernandez,0.6,1.0,0.5,0.5,0.5
Camila Martinez,0.6,1.0,0.8,0.1,0.7
Camila Lopez,0.9,0.9,0.4,0.0,0.9
Camila Gonzalez,0.5,0.4,0.6,0.0,0.8
