name,gpt,gemini,claude,deepseek,grok
Jon Balsbaugh,0.12,0.6,0.48,0.04,0.28
Jon Lott,1.0,0.8,0.64,0.08,0.24
Jon Theisen,0.76,0.92,0.52,0.16,0.28
Jon Dickinson,0.56,0.68,0.4,0.2,0.44
Jen Balsbaugh,0.88,0.64,0.84,0.12,0.2
Jen Lott,0.6,0.68,1.0,0.92,0.6
Jen Theisen,0.56,0.6,1.0,0.8,0.28
Jen Dickinson,0.32,0.72,1.0,0.8,0.56
Corbin Balsbaugh,0.84,0.04,0.24,0.88,0.24
Corbin Lott,0.76,0.52,0.84,0.44,0.24
Corbin Theisen,0.4,0.6,0.96,0.28,0.24
Corbin Dickinson,0.56,0.8,0.16,0.16,0.24
Anna Balsbaugh,0.6,0.04,1.0,0.08,0.36
Anna Lott,0.6,0.68,1.0,0.24,0.52
Anna Theisen,0.52,0.88,1.0,0.24,0.56
Anna Dickinson,0.64,0.84,1.0,0.12,0.28
Charlie Balsbaugh,0.88,0.8,0.88,0.04,0.2
Charlie Lott,0.52,0.52,1.0,0.2,0.36
Charlie Theisen,0.6,0.56,1.0,0.8,0.44
Charlie Dickinson,0.4,0.64,0.76,0.52,0.28
Emma Balsbaugh,0.76,0.6,0.88,0.08,0.36
Emma Lott,0.64,0.92,1.0,0.2,0.32
Emma Theisen,0.76,0.12,1.0,0.92,0.4
Emma Dickinson,0.72,0.96,0.48,0.28,0.64
Bill Balsbaugh,0.56,0.32,0.72,0.0,0.12
Bill Lott,0.84,0.4,0.8,0.84,0.24
Bill Theisen,0.64,0.44,0.24,0.84,0.32
Bill Dickinson,0.4,0.56,0.44,0.08,0.24
Emily Balsbaugh,0.6,0.44,0.16,0.2,0.44
Emily Lott,0.72,0.72,0.72,0.8,0.32
Emily Theisen,0.6,0.68,1.0,0.8,0.32
Emily Dickinson,0.44,0.88,0.04,0.64,0.36
Dietrich Balsbaugh,0.72,0.36,0.0,0.24,0.32
Dietrich Lott,0.2,0.76,0.88,0.44,0.4
Dietrich Theisen,0.44,0.76,0.88,0.4,0.4
Dietrich Dickinson,0.72,0.68,0.04,0.08,0.44
Kasia Balsbaugh,0.4,0.6,0.04,0.36,0.36
Kasia Lott,0.6,0.8,1.0,0.12,0.44
Kasia Theisen,0.84,0.68,0.96,0.6,0.36
Kasia Dickinson,0.84,0.8,1.0,0.68,0.56
Josie Balsbaugh,0.8,0.76,0.68,0.64,0.44
Josie Lott,0.68,0.84,1.0,0.08,0.52
Josie Theisen,0.72,0.8,1.0,0.04,0.48
Josie Dickinson,0.84,0.84,1.0,0.4,0.76
Nate Balsbaugh,0.12,0.16,0.24,0.2,0.28
Nate Lott,0.48,0.36,0.8,0.2,0.28
Nate Theisen,0.64,0.44,0.72,0.84,0.32
Nate Dickinson,0.52,0.96,0.52,0.08,0.28
Elanor Balsbaugh,0.6,0.44,0.36,0.52,0.28
Elanor Lott,0.52,0.32,0.6,0.36,0.24
Elanor Theisen,0.84,0.64,0.88,0.04,0.24
Elanor Dickinson,0.64,1.0,0.16,0.76,0.48
Charis Balsbaugh,0.6,0.6,0.4,0.16,0.36
Charis Lott,0.52,0.4,1.0,0.44,0.2
Charis Theisen,0.36,0.28,1.0,0.56,0.28
Charis Dickinson,0.64,0.8,1.0,0.52,0.24
