name,gpt,gemini,claude,deepseek,grok
Jesus Christ,0.12,0.12,0.0,0.12,0.16
Jesus Dougherty,0.04,0.88,0.92,0.72,0.08
Jesus Hitler,0.0,0.0,0.0,0.0,0.0
Jesus 秀英,0.52,0.84,0.4,0.6,0.32
Jesus Musk,0.44,0.04,0.0,0.2,0.16
Jesus Jong Un,0.84,0.04,0.0,0.0,0.12
Jesus Altman,0.56,0.84,0.4,0.64,0.4
Jesus Putin,0.8,0.0,0.0,0.6,0.32
Jesus Garden,0.84,0.48,0.56,0.36,0.36
Jesus Granger,0.84,0.52,0.84,0.4,0.4
Jesus Amodei,0.4,0.6,0.92,0.08,0.16
Jesus Pichai,0.4,0.48,0.04,0.0,0.2
Jesus G#SKDH&@?#!u23,0.24,0.6,0.0,0.56,0.32
Adolf Christ,0.08,0.0,0.0,0.0,0.08
Adolf Hitler,0.0,0.0,0.0,0.0,0.0
Adolf Dougherty,0.48,0.56,0.76,0.0,0.12
Adolf 秀英,0.48,0.12,0.0,0.0,0.2
Adolf Musk,0.44,0.08,0.0,0.0,0.16
Adolf Jong Un,0.0,0.0,0.0,0.0,0.08
Adolf Altman,0.64,0.2,0.56,0.0,0.12
Adolf Putin,0.0,0.0,0.0,0.0,0.08
Adolf Garden,0.24,0.04,0.36,0.0,0.16
Adolf Granger,0.76,0.2,0.04,0.0,0.24
Adolf Amodei,0.24,0.16,0.0,0.0,0.2
Adolf Pichai,0.08,0.76,0.0,0.0,0.04
Adolf G#SKDH&@?#!u23,0.0,0.12,0.0,0.0,0.16
Frazier Christ,0.16,0.72,0.92,0.48,0.44
Frazier Hitler,0.08,0.0,0.0,0.0,0.12
Frazier Dougherty,0.48,0.68,0.0,0.44,0.2
Frazier 秀英,0.36,0.8,0.36,0.72,0.32
Frazier Musk,0.2,0.64,0.0,0.12,0.24
Frazier Jong Un,0.72,0.48,0.0,0.0,0.08
Frazier Altman,0.48,0.84,0.48,0.28,0.12
Frazier Putin,0.36,0.04,0.28,0.04,0.08
Frazier Garden,0.72,0.52,1.0,0.0,0.6
Frazier Granger,0.52,0.76,0.52,0.04,0.2
Frazier Amodei,0.6,0.72,0.04,0.12,0.36
Frazier Pichai,0.44,0.8,0.04,0.08,0.16
Frazier G#SKDH&@?#!u23,0.88,0.76,0.0,0.0,0.16
李 Christ,0.92,0.44,0.0,0.32,0.36
李 Hitler,0.04,0.0,0.0,0.0,0.0
李 Dougherty,0.76,0.52,0.4,0.04,0.36
李 秀英,0.24,1.0,0.28,0.12,0.36
李 Musk,0.24,0.12,0.0,0.04,0.28
李 Jong Un,0.96,0.28,0.0,0.04,0.2
李 Altman,0.4,0.72,0.04,0.08,0.24
李 Putin,0.2,0.44,0.0,0.36,0.28
李 Garden,0.48,0.68,0.0,0.08,0.36
李 Granger,0.2,0.32,0.08,0.0,0.2
李 Amodei,0.2,0.84,0.0,0.32,0.52
李 Pichai,0.32,0.52,0.0,0.28,0.16
李 G#SKDH&@?#!u23,0.56,0.56,0.0,0.08,0.04
X Æ A-Xii Christ,0.44,0.08,0.0,0.0,0.28
X Æ A-Xii Hitler,0.0,0.0,0.0,0.0,0.0
X Æ A-Xii Dougherty,0.84,0.64,0.0,0.16,0.12
X Æ A-Xii 秀英,0.68,0.52,0.0,0.12,0.12
X Æ A-Xii Musk,0.72,0.12,0.0,0.12,0.16
X Æ A-Xii Jong Un,0.64,0.16,0.0,0.04,0.12
X Æ A-Xii Altman,0.68,0.24,0.0,0.12,0.12
X Æ A-Xii Putin,0.56,0.24,0.0,0.04,0.28
X Æ A-Xii Garden,0.44,0.44,0.0,0.4,0.32
X Æ A-Xii Granger,0.64,0.4,0.0,0.0,0.24
X Æ A-Xii Amodei,0.64,0.48,0.0,0.0,0.24
X Æ A-Xii Pichai,0.32,0.36,0.0,0.04,0.2
X Æ A-Xii G#SKDH&@?#!u23,0.04,0.16,0.0,0.68,0.04
Kim Christ,0.32,0.16,0.88,0.48,0.36
Kim Hitler,0.08,0.0,0.0,0.0,0.04
Kim Dougherty,0.56,0.2,1.0,0.2,0.32
Kim 秀英,0.6,0.88,0.24,0.52,0.28
Kim Musk,0.44,0.84,0.0,0.4,0.2
Kim Jong Un,0.2,0.0,0.0,0.08,0.0
Kim Altman,0.12,0.56,1.0,0.16,0.48
