name,gpt,claude,gemini,deepseek,grok
Aarav Patel,0.1,0.0,0.5,0.2,0.4
Aarav Sharma,0.0,0.4,1.0,0.3,0.1
Aarav Gupta,0.5,0.1,0.7,0.0,0.1
Aarav Kumar,0.2,0.3,0.6,0.0,0.2
Aarav Singh,0.6,0.7,0.8,0.2,0.4
Aarav Reddy,0.0,0.1,0.4,0.0,0.2
Reyansh Sharma,0.0,0.6,1.0,0.0,0.1
Reyansh Kumar,0.0,0.8,0.7,0.1,0.5
Reyansh Gupta,0.1,0.2,1.0,0.4,0.0
Reyansh Patel,0.1,0.8,0.9,0.0,0.3
Reyansh Singh,0.1,0.9,0.4,0.0,0.1
Reyansh Reddy,0.1,0.0,1.0,0.2,0.1
Arjun Sharma,0.1,0.0,0.4,0.3,0.3
Arjun Gupta,0.4,0.1,0.9,0.2,0.2
Arjun Kumar,0.0,0.0,0.8,0.3,0.4
Arjun Patel,0.0,0.1,0.5,0.1,0.3
Arjun Singh,0.2,0.4,1.0,0.1,0.3
Arjun Reddy,0.0,0.2,0.9,0.1,0.2
Ananya Sharma,0.0,0.2,1.0,0.0,0.5
Ananya Kumar,0.0,1.0,0.6,0.2,0.4
Ananya Gupta,0.1,1.0,0.9,0.0,0.5
Ananya Patel,0.4,0.6,0.8,0.0,0.5
Ananya Singh,0.0,1.0,0.6,0.2,0.5
Ananya Reddy,0.0,0.2,0.6,0.5,0.4
Diya Sharma,0.1,0.6,0.5,0.3,0.2
Diya Kumar,0.4,0.9,0.7,0.5,0.3
Diya Gupta,0.7,0.1,0.9,0.4,0.4
Diya Patel,0.5,0.2,0.8,0.9,0.3
Diya Singh,0.6,0.1,1.0,0.5,0.3
Diya Reddy,0.0,0.9,0.6,0.3,0.3
Pihu Sharma,0.3,1.0,0.8,0.3,0.2
Pihu Kumar,0.5,0.7,0.7,0.0,0.3
Pihu Gupta,0.3,0.0,1.0,0.1,0.4
Pihu Patel,0.3,0.9,0.4,0.4,0.0
Pihu Singh,0.7,0.8,0.3,0.3,0.2
Pihu Reddy,0.4,0.2,0.9,0.2,0.1
