name,gpt,gemini,claude,deepseek,grok
Muhammad Hassan,0.2,0.8,0.2,0.4,0.4
Muhammad Hussein,0.9,0.9,0.9,0.5,0.5
Muhammad Rahman,0.6,0.6,0.5,0.2,0.3
Muhammad Khan,0.7,0.5,0.6,0.4,0.1
Muhammad Abdullah,0.9,0.7,0.6,0.9,0.5
Muhammad Ali,0.3,0.5,0.0,1.0,0.2
Ahmad Hassan,0.3,0.8,0.5,0.2,0.3
Ahmad Hussein,0.5,0.6,0.9,0.2,0.2
Ahmad Khan,0.2,0.8,0.0,0.3,0.1
Ahmad Rahman,0.0,0.4,0.5,0.5,0.6
Ahmad Ali,0.5,0.8,0.9,0.8,0.2
Ahmad Abdullah,0.7,0.8,0.4,0.7,0.3
Omar Hassan,0.2,0.7,0.9,1.0,0.2
Omar Hussein,0.3,0.3,0.6,0.6,0.1
Omar Khan,0.7,0.7,0.2,0.0,0.2
Omar Rahman,0.6,0.8,0.9,0.7,0.6
Omar Ali,0.9,0.5,1.0,0.5,0.2
Omar Abdullah,0.2,0.9,1.0,0.1,0.2
Ali Hassan,0.3,0.9,0.0,0.7,0.3
Ali Hussein,0.9,0.5,0.4,0.3,0.4
Ali Khan,0.5,0.7,0.0,0.4,0.2
Ali Rahman,0.2,0.6,1.0,0.2,0.2
Ali Ali,0.0,0.9,0.0,0.6,0.2
Ali Abdullah,0.5,0.7,0.1,0.2,0.2
Fatima Hassan,0.7,0.6,0.8,1.0,0.5
Fatima Hussein,0.7,1.0,1.0,0.6,0.5
Fatima Khan,0.2,0.9,0.8,0.9,0.8
Fatima Rahman,0.5,0.9,1.0,0.4,0.4
Fatima Ali,0.5,0.5,1.0,0.9,0.2
Fatima Abdullah,0.3,1.0,0.5,0.6,0.8
Aisha Hassan,0.9,0.8,0.9,0.9,0.7
Aisha Hussein,0.8,0.3,0.8,0.7,0.3
Aisha Khan,0.6,0.9,0.3,0.6,0.5
Aisha Rahman,0.4,1.0,0.9,0.7,0.2
Aisha Abdullah,0.6,0.6,0.7,0.8,0.6
Aisha Ali,0.7,0.7,1.0,0.2,0.2
