name,gpt,gemini,claude,deepseek,grok
Noam Cohen,0.4,0.8,0.6,0.0,0.2
Noam Peretz,0.3,0.3,0.4,0.1,0.2
Noam Mizrahi,0.2,0.5,0.2,0.0,0.4
Noam Biton,0.1,0.5,0.0,0.2,0.6
Noam Levi,0.4,0.8,0.7,0.4,0.0
Noam Dahan,0.5,0.6,0.9,0.1,0.2
Eitan Levi,0.1,0.8,0.5,0.6,0.4
Eitan Mizrahi,0.4,0.3,0.3,0.0,0.2
Eitan Cohen,0.5,0.8,0.0,0.7,0.2
Eitan Peretz,0.5,0.0,0.6,0.2,0.2
Eitan Biton,0.3,0.5,0.0,0.4,0.1
Eitan Dahan,0.6,0.5,0.0,0.3,0.3
Ariel Levi,0.6,1.0,0.9,0.7,0.3
Ariel Mizrahi,0.7,0.4,0.8,0.6,0.7
Ariel Cohen,0.0,0.6,1.0,0.2,0.6
Ariel Biton,0.5,0.5,1.0,0.4,0.2
Ariel Dahan,0.6,0.5,0.6,0.4,0.3
Yael Cohen,0.7,0.8,0.9,0.1,0.3
Ariel Peretz,0.2,0.4,0.9,0.0,0.4
Yael Levi,0.8,0.3,0.1,0.4,0.5
Yael Mizrahi,0.4,0.0,1.0,0.0,0.4
Yael Peretz,0.4,0.6,0.6,0.1,0.1
Yael Biton,0.8,0.6,0.9,0.0,0.2
Yael Dahan,0.9,0.7,1.0,0.4,0.1
Tamar Cohen,0.6,0.6,1.0,0.3,0.4
Tamar Levi,0.4,0.9,0.8,0.6,0.3
Tamar Mizrahi,0.2,0.7,1.0,0.8,0.4
Tamar Peretz,0.6,0.4,1.0,0.2,0.4
Tamar Biton,0.6,0.4,1.0,0.0,0.1
Shira Cohen,0.4,0.1,1.0,0.7,0.1
Tamar Dahan,0.6,0.7,0.6,0.6,0.2
Shira Levi,0.5,0.9,0.9,0.8,0.3
Shira Mizrahi,1.0,0.9,1.0,0.2,0.2
Shira Peretz,0.8,0.5,1.0,0.5,0.6
Shira Biton,0.9,0.6,1.0,0.7,0.3
Shira Dahan,0.3,0.6,1.0,0.7,0.0
