name,gpt,claude,gemini,deepseek,grok
Aidan Boyd,0.6,1.0,0.6,0.5,0.4
Aidan Theisen,1.0,0.4,0.0,0.2,0.2
Aidan Gonzales,0.1,0.9,0.5,0.2,0.4
Aidan Albiero,0.5,0.8,0.4,0.2,0.4
Aidan Carmichael,0.1,0.8,0.6,0.2,0.3
Aidan Tinsley,0.7,0.1,0.7,0.5,0.1
Aidan Dulay,0.1,0.8,0.6,0.3,0.2
Aidan Grieggs,0.4,0.2,0.8,0.2,0.4
Bill Boyd,0.9,0.9,0.8,0.7,0.1
Bill Theisen,0.6,0.4,0.3,0.6,0.3
Bill Carmichael,0.8,0.6,0.3,0.6,0.2
Bill Gonzales,0.5,0.8,1.0,0.9,0.4
Bill Albiero,0.9,0.8,0.9,0.1,0.3
Bill Tinsley,0.8,0.1,0.7,0.4,0.2
Bill Dulay,0.6,0.0,0.7,0.5,0.3
Bill Grieggs,0.7,0.2,0.3,0.5,0.4
Zach Boyd,0.8,0.2,0.8,0.9,0.3
Zach Theisen,0.3,1.0,0.3,0.8,0.3
Zach Albiero,0.7,0.3,0.4,0.8,0.4
Zach Carmichael,0.5,0.0,0.1,0.6,0.3
Zach Gonzales,0.4,1.0,0.3,0.3,0.4
Zach Tinsley,0.7,0.3,0.0,0.2,0.6
Zach Grieggs,0.7,0.1,0.0,0.1,0.2
Zach Dulay,0.4,0.4,0.9,0.3,0.3
Jeremy Boyd,0.7,0.8,0.1,0.7,0.5
Jeremy Theisen,0.8,0.8,0.7,0.7,0.3
Jeremy Carmichael,1.0,1.0,0.4,0.6,0.4
Jeremy Albiero,0.3,0.6,0.0,0.3,0.3
Jeremy Gonzales,0.3,0.4,0.5,0.9,0.4
Jeremy Tinsley,0.3,0.4,0.8,0.0,0.3
Jeremy Dulay,0.2,0.2,1.0,0.5,0.5
Jeremy Grieggs,0.6,1.0,0.2,0.0,0.1
Vitor Theisen,0.4,0.2,0.9,0.7,0.5
Vitor Boyd,0.3,1.0,0.4,0.5,0.3
Vitor Carmichael,0.7,0.5,0.8,0.2,0.3
Vitor Albiero,0.4,0.0,0.5,0.7,0.5
Vitor Gonzales,0.8,0.9,0.6,0.1,0.5
Vitor Tinsley,0.7,1.0,0.9,0.3,0.5
Vitor Dulay,0.6,0.5,1.0,0.6,0.3
Vitor Grieggs,0.5,0.1,0.7,0.0,0.4
Dan Boyd,0.8,0.8,0.3,0.6,0.3
Dan Theisen,0.6,0.6,1.0,0.8,0.2
Dan Carmichael,0.2,1.0,0.6,0.4,0.4
Dan Albiero,0.7,0.3,0.8,0.6,0.6
Dan Gonzales,0.6,1.0,0.5,0.7,0.4
Dan Tinsley,0.2,0.5,0.3,0.1,0.4
Dan Dulay,0.3,0.5,0.7,0.1,0.1
Dan Grieggs,0.5,0.7,0.2,0.4,0.4
Patrick Boyd,0.8,1.0,0.7,0.5,0.6
Patrick Theisen,1.0,0.0,0.9,0.3,0.3
Patrick Carmichael,1.0,0.3,0.5,0.1,0.6
Patrick Albiero,0.4,0.7,0.9,0.9,0.5
Patrick Gonzales,1.0,1.0,0.8,0.3,0.7
Patrick Tinsley,0.4,0.2,0.3,0.2,0.4
Patrick Dulay,0.6,0.1,0.8,0.4,0.5
Patrick Grieggs,0.7,0.6,0.9,0.3,0.3
Justin Boyd,1.0,0.5,0.5,0.6,0.2
Justin Theisen,0.9,0.6,0.2,0.0,0.0
Justin Carmichael,0.3,1.0,1.0,0.4,0.2
Justin Albiero,0.8,0.1,0.4,0.3,0.2
Justin Gonzales,0.4,0.6,0.2,0.4,0.5
Justin Dulay,0.7,0.0,0.3,0.7,0.3
Justin Tinsley,0.5,0.1,0.4,0.0,0.2
Justin Grieggs,0.7,0.3,0.5,0.1,0.3
Sam Boyd,0.5,1.0,1.0,0.3,0.1
Sam Theisen,0.9,0.6,0.6,0.4,0.2
Sam Albiero,0.3,0.2,0.2,0.9,0.6
Sam Carmichael,1.0,1.0,0.8,0.4,0.5
Sam Gonzales,0.9,1.0,0.2,0.2,0.2
Sam Tinsley,1.0,1.0,0.9,0.2,0.3
Sam Dulay,0.3,0.1,0.8,0.9,0.1
Sam Grieggs,0.4,1.0,0.5,0.1,0.3
