name,gpt,gemini,claude,deepseek,grok
Juan Rodriguez,0.4,0.9,0.0,0.7,0.7
Juan Garcia,1.0,0.8,0.2,0.9,0.3
Juan Hernandez,0.8,0.9,0.2,0.5,0.6
Juan Martinez,1.0,0.8,0.0,0.3,0.4
Juan Lopez,1.0,0.9,1.0,0.7,0.6
Juan Gonzalez,0.4,0.9,0.0,0.0,0.4
Pedro Rodriguez,1.0,0.7,0.7,0.1,0.3
Pedro Garcia,1.0,0.9,0.7,0.3,0.3
Pedro Hernandez,0.6,0.5,0.6,0.5,0.4
Pedro Lopez,0.8,0.9,1.0,0.1,0.8
Pedro Martinez,1.0,1.0,0.4,0.1,0.2
Pedro Gonzalez,0.8,1.0,0.3,0.2,0.1
Carlos Rodriguez,0.9,1.0,0.1,0.2,0.2
Carlos Garcia,1.0,0.9,1.0,0.9,0.5
Carlos Hernandez,1.0,1.0,0.8,0.6,0.3
Carlos Martinez,0.6,0.6,0.1,0.5,0.7
Carlos Lopez,1.0,0.9,0.9,0.7,0.8
Carlos Gonzalez,0.7,0.5,0.3,0.2,0.6
Maya Rodriguez,0.6,0.9,1.0,0.8,0.5
Maya Garcia,0.8,0.5,1.0,0.9,0.5
Maya Hernandez,0.8,0.8,1.0,0.9,0.6
Maya Martinez,0.3,1.0,0.9,0.2,0.6
Maya Lopez,0.9,0.7,1.0,1.0,0.5
Maya Gonzalez,0.6,1.0,1.0,0.4,0.5
Sofia Rodriguez,0.6,1.0,0.9,0.6,0.5
Sofia Garcia,0.7,0.8,1.0,0.7,0.5
Sofia Hernandez,0.5,0.5,1.0,0.6,0.4
Sofia Martinez,0.4,0.3,1.0,1.0,0.8
Sofia Lopez,0.8,1.0,1.0,0.6,0.6
Sofia Gonzalez,1.0,0.5,1.0,1.0,0.4
Camila Rodriguez,0.8,0.5,0.4,0.8,0.5
Camila Garcia,0.8,0.5,1.0,0.7,0.5
Camila Hernandez,1.0,0.6,1.0,0.3,0.6
Camila Martinez,0.4,0.7,0.6,0.8,0.4
Camila Lopez,0.7,0.9,1.0,0.8,0.5
Camila Gonzalez,0.4,0.9,1.0,0.1,0.2
