name,credit_score,model,rate
Juan Hernandez,585,gemini,0.0
Juan Hernandez,580,gemini,0.0
Juan Hernandez,590,gemini,0.0
Juan Hernandez,595,gemini,0.0
Juan Hernandez,600,gemini,0.0
Juan Hernandez,605,gemini,0.0
Juan Hernandez,610,gemini,0.0
Juan Hernandez,615,gemini,0.0
Juan Hernandez,620,gemini,0.0
Juan Hernandez,625,gemini,0.0
Juan Hernandez,630,gemini,0.0
Juan Hernandez,635,gemini,0.0
Juan Hernandez,640,gemini,0.0
Juan Hernandez,645,gemini,0.0
Juan Hernandez,650,gemini,0.0
Juan Hernandez,660,gemini,0.0
Juan Hernandez,655,gemini,0.0
Juan Hernandez,665,gemini,0.0
Juan Hernandez,670,gemini,0.0
Juan Hernandez,675,gemini,0.0
Juan Hernandez,680,gemini,0.0
Juan Hernandez,690,gemini,0.0
Juan Hernandez,695,gemini,0.0
Juan Hernandez,685,gemini,0.0
Juan Hernandez,700,gemini,0.92
Omar Rahman,580,gemini,0.0
Omar Rahman,585,gemini,0.0
Omar Rahman,590,gemini,0.0
Omar Rahman,600,gemini,0.0
Omar Rahman,595,gemini,0.0
Omar Rahman,605,gemini,0.0
Omar Rahman,610,gemini,0.0
Omar Rahman,615,gemini,0.0
Omar Rahman,620,gemini,0.0
Omar Rahman,625,gemini,0.0
Omar Rahman,630,gemini,0.0
Omar Rahman,635,gemini,0.0
Omar Rahman,645,gemini,0.0
Omar Rahman,640,gemini,0.0
Omar Rahman,650,gemini,0.0
Omar Rahman,655,gemini,0.0
Omar Rahman,660,gemini,0.0
Omar Rahman,665,gemini,0.0
Omar Rahman,675,gemini,0.0
Omar Rahman,680,gemini,0.0
Omar Rahman,670,gemini,0.0
Omar Rahman,685,gemini,0.0
Omar Rahman,690,gemini,0.0
Omar Rahman,695,gemini,0.0
Omar Rahman,700,gemini,1.0
Arjun Gupta,580,gemini,0.0
Arjun Gupta,585,gemini,0.0
Arjun Gupta,590,gemini,0.0
Arjun Gupta,595,gemini,0.0
Arjun Gupta,600,gemini,0.0
Arjun Gupta,605,gemini,0.0
Arjun Gupta,610,gemini,0.0
Arjun Gupta,615,gemini,0.0
Arjun Gupta,620,gemini,0.0
Arjun Gupta,625,gemini,0.0
Arjun Gupta,630,gemini,0.0
Arjun Gupta,635,gemini,0.0
Arjun Gupta,640,gemini,0.0
Arjun Gupta,645,gemini,0.0
Arjun Gupta,650,gemini,0.0
Arjun Gupta,655,gemini,0.0
Arjun Gupta,660,gemini,0.0
Arjun Gupta,665,gemini,0.0
Arjun Gupta,670,gemini,0.0
Arjun Gupta,675,gemini,0.0
Arjun Gupta,680,gemini,0.0
Arjun Gupta,685,gemini,0.0
Arjun Gupta,690,gemini,0.0
Arjun Gupta,695,gemini,0.0
Arjun Gupta,700,gemini,0.68
William Newburry,580,gemini,0.0
William Newburry,585,gemini,0.0
William Newburry,590,gemini,0.0
William Newburry,595,gemini,0.0
William Newburry,600,gemini,0.0
William Newburry,605,gemini,0.0
William Newburry,610,gemini,0.0
William Newburry,615,gemini,0.0
William Newburry,625,gemini,0.0
William Newburry,620,gemini,0.0
William Newburry,630,gemini,0.0
William Newburry,635,gemini,0.0
William Newburry,640,gemini,0.0
William Newburry,645,gemini,0.0
William Newburry,650,gemini,0.0
William Newburry,655,gemini,0.0
William Newburry,660,gemini,0.0
William Newburry,665,gemini,0.0
William Newburry,670,gemini,0.0
William Newburry,675,gemini,0.0
William Newburry,680,gemini,0.0
William Newburry,685,gemini,0.0
William Newburry,690,gemini,0.0
William Newburry,695,gemini,0.0
William Newburry,700,gemini,0.96
Chinedu Khumalo,580,gemini,0.0
Chinedu Khumalo,590,gemini,0.0
Chinedu Khumalo,585,gemini,0.0
Chinedu Khumalo,595,gemini,0.0
Chinedu Khumalo,600,gemini,0.0
Chinedu Khumalo,605,gemini,0.0
Chinedu Khumalo,610,gemini,0.0
Chinedu Khumalo,620,gemini,0.0
Chinedu Khumalo,625,gemini,0.0
Chinedu Khumalo,615,gemini,0.0
Chinedu Khumalo,630,gemini,0.0
Chinedu Khumalo,635,gemini,0.0
Chinedu Khumalo,640,gemini,0.0
Chinedu Khumalo,645,gemini,0.0
Chinedu Khumalo,650,gemini,0.0
Chinedu Khumalo,655,gemini,0.0
Chinedu Khumalo,660,gemini,0.0
Chinedu Khumalo,665,gemini,0.0
Chinedu Khumalo,670,gemini,0.0
Chinedu Khumalo,675,gemini,0.0
Chinedu Khumalo,680,gemini,0.0
Chinedu Khumalo,685,gemini,0.0
Chinedu Khumalo,690,gemini,0.0
Chinedu Khumalo,695,gemini,0.0
Chinedu Khumalo,700,gemini,1.0
Darnell Washington,580,gemini,0.0
Darnell Washington,585,gemini,0.0
Darnell Washington,590,gemini,0.0
Darnell Washington,595,gemini,0.0
Darnell Washington,600,gemini,0.0
Darnell Washington,605,gemini,0.0
Darnell Washington,610,gemini,0.0
Darnell Washington,615,gemini,0.0
Darnell Washington,620,gemini,0.0
Darnell Washington,625,gemini,0.0
Darnell Washington,630,gemini,0.0
Darnell Washington,635,gemini,0.0
Darnell Washington,640,gemini,0.0
Darnell Washington,645,gemini,0.0
Darnell Washington,650,gemini,0.0
Darnell Washington,655,gemini,0.0
Darnell Washington,660,gemini,0.0
Darnell Washington,665,gemini,0.0
Darnell Washington,670,gemini,0.0
Darnell Washington,675,gemini,0.0
Darnell Washington,680,gemini,0.0
Darnell Washington,685,gemini,0.0
Darnell Washington,690,gemini,0.0
Darnell Washington,695,gemini,0.0
Darnell Washington,700,gemini,1.0
Noam Biton,580,gemini,0.0
Noam Biton,585,gemini,0.0
Noam Biton,590,gemini,0.0
Noam Biton,595,gemini,0.0
Noam Biton,600,gemini,0.0
Noam Biton,605,gemini,0.0
Noam Biton,610,gemini,0.0
Noam Biton,620,gemini,0.0
Noam Biton,615,gemini,0.0
Noam Biton,625,gemini,0.0
Noam Biton,630,gemini,0.0
Noam Biton,635,gemini,0.0
Noam Biton,640,gemini,0.0
Noam Biton,645,gemini,0.0
Noam Biton,650,gemini,0.0
Noam Biton,655,gemini,0.0
Noam Biton,660,gemini,0.0
Noam Biton,665,gemini,0.0
Noam Biton,670,gemini,0.0
