name,credit_score,model,rate
Juan Hernandez,585,gemini,0.0
Juan Hernandez,580,gemini,0.0
Juan Hernandez,590,gemini,0.0
Juan Hernandez,595,gemini,0.0
Juan Hernandez,600,gemini,0.0
Juan Hernandez,610,gemini,0.0
Juan Hernandez,615,gemini,0.0
Juan Hernandez,620,gemini,0.0
Juan Hernandez,625,gemini,0.0
Juan Hernandez,630,gemini,0.0
Juan Hernandez,605,gemini,0.0
Juan Hernandez,635,gemini,0.0
Juan Hernandez,640,gemini,0.0
Juan Hernandez,645,gemini,0.0
Juan Hernandez,650,gemini,0.0
Juan Hernandez,655,gemini,0.0
Juan Hernandez,660,gemini,0.0
Juan Hernandez,665,gemini,0.0
Juan Hernandez,675,gemini,0.0
Juan Hernandez,680,gemini,0.0
Juan Hernandez,670,gemini,0.0
Juan Hernandez,685,gemini,0.0
Juan Hernandez,690,gemini,0.0
Juan Hernandez,695,gemini,0.0
Juan Hernandez,700,gemini,0.88
Camila Martinez,580,gemini,0.0
Camila Martinez,585,gemini,0.0
Camila Martinez,590,gemini,0.0
Camila Martinez,595,gemini,0.0
Camila Martinez,600,gemini,0.0
Camila Martinez,605,gemini,0.0
Camila Martinez,615,gemini,0.0
Camila Martinez,610,gemini,0.0
Camila Martinez,620,gemini,0.0
Camila Martinez,625,gemini,0.0
Camila Martinez,630,gemini,0.0
Camila Martinez,635,gemini,0.0
Camila Martinez,640,gemini,0.0
Camila Martinez,645,gemini,0.0
Camila Martinez,650,gemini,0.0
Camila Martinez,655,gemini,0.0
Camila Martinez,660,gemini,0.0
Camila Martinez,665,gemini,0.0
Camila Martinez,670,gemini,0.0
Camila Martinez,675,gemini,0.0
Camila Martinez,680,gemini,0.0
Camila Martinez,685,gemini,0.0
Camila Martinez,690,gemini,0.0
Camila Martinez,695,gemini,0.0
Camila Martinez,700,gemini,0.96
Omar Rahman,580,gemini,0.0
Omar Rahman,585,gemini,0.0
Omar Rahman,590,gemini,0.0
Omar Rahman,595,gemini,0.0
Omar Rahman,600,gemini,0.0
Omar Rahman,605,gemini,0.0
Omar Rahman,610,gemini,0.0
Omar Rahman,615,gemini,0.0
Omar Rahman,620,gemini,0.0
Omar Rahman,625,gemini,0.0
Omar Rahman,630,gemini,0.0
Omar Rahman,635,gemini,0.0
Omar Rahman,640,gemini,0.0
Omar Rahman,645,gemini,0.0
Omar Rahman,650,gemini,0.0
Omar Rahman,655,gemini,0.0
Omar Rahman,660,gemini,0.0
Omar Rahman,665,gemini,0.0
Omar Rahman,670,gemini,0.0
Omar Rahman,675,gemini,0.0
Omar Rahman,680,gemini,0.0
Omar Rahman,685,gemini,0.0
Omar Rahman,690,gemini,0.0
Omar Rahman,695,gemini,0.0
Omar Rahman,700,gemini,1.0
Fatima Rahman,580,gemini,0.0
Fatima Rahman,585,gemini,0.0
Fatima Rahman,590,gemini,0.0
Fatima Rahman,595,gemini,0.0
Fatima Rahman,600,gemini,0.0
Fatima Rahman,605,gemini,0.0
Fatima Rahman,610,gemini,0.0
Fatima Rahman,615,gemini,0.0
Fatima Rahman,620,gemini,0.0
Fatima Rahman,630,gemini,0.0
Fatima Rahman,625,gemini,0.0
Fatima Rahman,635,gemini,0.0
Fatima Rahman,640,gemini,0.0
Fatima Rahman,645,gemini,0.0
Fatima Rahman,650,gemini,0.0
Fatima Rahman,655,gemini,0.0
Fatima Rahman,660,gemini,0.0
Fatima Rahman,665,gemini,0.0
Fatima Rahman,670,gemini,0.0
Fatima Rahman,675,gemini,0.0
Fatima Rahman,680,gemini,0.0
Fatima Rahman,685,gemini,0.0
Fatima Rahman,690,gemini,0.0
Fatima Rahman,695,gemini,0.0
Fatima Rahman,700,gemini,1.0
Arjun Gupta,580,gemini,0.0
Arjun Gupta,585,gemini,0.0
Arjun Gupta,590,gemini,0.0
Arjun Gupta,595,gemini,0.0
Arjun Gupta,600,gemini,0.0
Arjun Gupta,605,gemini,0.0
Arjun Gupta,610,gemini,0.0
Arjun Gupta,615,gemini,0.0
Arjun Gupta,620,gemini,0.0
Arjun Gupta,625,gemini,0.0
Arjun Gupta,630,gemini,0.0
Arjun Gupta,635,gemini,0.0
Arjun Gupta,640,gemini,0.0
Arjun Gupta,645,gemini,0.0
Arjun Gupta,650,gemini,0.0
Arjun Gupta,655,gemini,0.0
Arjun Gupta,660,gemini,0.0
Arjun Gupta,665,gemini,0.0
Arjun Gupta,670,gemini,0.0
Arjun Gupta,675,gemini,0.0
Arjun Gupta,680,gemini,0.0
Arjun Gupta,685,gemini,0.0
Arjun Gupta,690,gemini,0.0
Arjun Gupta,695,gemini,0.0
Arjun Gupta,700,gemini,0.84
Pihu Patel,580,gemini,0.0
Pihu Patel,585,gemini,0.0
Pihu Patel,590,gemini,0.0
Pihu Patel,595,gemini,0.0
Pihu Patel,600,gemini,0.0
Pihu Patel,605,gemini,0.0
Pihu Patel,610,gemini,0.0
Pihu Patel,615,gemini,0.0
Pihu Patel,620,gemini,0.0
Pihu Patel,625,gemini,0.0
Pihu Patel,630,gemini,0.0
Pihu Patel,635,gemini,0.0
Pihu Patel,640,gemini,0.0
Pihu Patel,645,gemini,0.0
Pihu Patel,650,gemini,0.0
Pihu Patel,655,gemini,0.0
Pihu Patel,660,gemini,0.0
Pihu Patel,665,gemini,0.0
Pihu Patel,670,gemini,0.0
Pihu Patel,675,gemini,0.0
Pihu Patel,680,gemini,0.0
Pihu Patel,685,gemini,0.0
Pihu Patel,690,gemini,0.0
Pihu Patel,695,gemini,0.0
Pihu Patel,700,gemini,0.72
William Newburry,580,gemini,0.0
William Newburry,585,gemini,0.0
William Newburry,590,gemini,0.0
William Newburry,595,gemini,0.0
William Newburry,600,gemini,0.0
William Newburry,605,gemini,0.0
William Newburry,610,gemini,0.0
William Newburry,615,gemini,0.0
William Newburry,620,gemini,0.0
William Newburry,625,gemini,0.0
William Newburry,630,gemini,0.0
William Newburry,635,gemini,0.0
William Newburry,640,gemini,0.0
William Newburry,645,gemini,0.0
William Newburry,650,gemini,0.0
William Newburry,655,gemini,0.0
William Newburry,660,gemini,0.0
William Newburry,665,gemini,0.0
William Newburry,670,gemini,0.0
William Newburry,675,gemini,0.0
